REGNAME,max_mathball_2021,max_mathball_2019
Вінницька область,200.0,200.0
Волинська область,200.0,200.0
Дніпропетровська область,200.0,200.0
Донецька область,200.0,199.0
Житомирська область,200.0,199.0
Закарпатська область,200.0,199.0
Запорізька область,200.0,200.0
Івано-Франківська область,200.0,200.0
Київська область,200.0,200.0
Кіровоградська область,200.0,199.0
Луганська область,198.0,200.0
Львівська область,200.0,200.0
Миколаївська область,199.0,200.0
м.Київ,200.0,200.0
Одеська область,200.0,200.0
Полтавська область,200.0,200.0
Рівненська область,200.0,199.0
Сумська область,200.0,200.0
Тернопільська область,200.0,200.0
Харківська область,200.0,200.0
Херсонська область,200.0,200.0
Хмельницька область,200.0,200.0
Черкаська область,200.0,200.0
Чернівецька область,200.0,200.0
Чернігівська область,198.0,200.0
